00 white
01 checkered_box
02 arnold_palmer
03 stone
04 slash_box
05 white_box
06 grass_start
07 grass_middle
08 grass_end
09 black_collide
0A log_start
0B log_middle
0C log_end
0D pipe_top_left
0C pipe_bottom_left
0D pipe_top_right
0E pipe_bottom_right
0F mystery_coin
10 mystery_powerup
11 mystery_star
12 mystery_life
13 break
14 bricks
15 music
16 sparkle_top_right
17 sparkle_top_middle
18 sparkle_top_right
19 sparkle_bottom_left
1A sparkle_bottom_middle
1B sparkle_bottom_right
1C sand_island
1D sand_middle
1E sand_shallow_bottom_up
1F sand_shallow_top_up
20 sand_steep_up
21 sand_shallow_bottom_down
22 sand_shallow_top_down
23 sand_steep_down
24 box_top_left
25 box_top_middle
26 box_top_right
27 box_middle_left
28 box_middle_right
29 box_bottom_left
2A box_bottom_middle
2B box_bottom_right
2C asterisk
2D coin
2E sparse
2F flat
30 bush
31 thing_left_white
32 black_non_collide
33 thing_right_white
34 thing_left_black
35 thing_right_blacks
36 cloud_left
37 cloud_right
38 horiz_line_slope
39 horiz_line_straight
3A checker_square
3B checker_slope
3C iron_circle
3D black_shroom
3E star
3F barber_pole_top
40 barber_shop_middle
41 window_top
42 window_bottom
43 bullet_bill
44 cannon_up
45 cannon_down
